cell_prob,dataset,level_bin,mean_gap,mean_gap_sq,n_cell,reliability_bin,stratum_n,stratum_proxy
0.025729836714497772,MHEALTH,0,0.19871262313480761,0.039486706593116074,52,0,404,0.0017947126518790381
0.0475012370113805,MHEALTH,0,0.1033781743030454,0.010687046922230835,96,1,404,0.0017947126518790381
0.12666996536368136,MHEALTH,0,0.04626051493948345,0.002140035242466172,256,2,404,0.0017947126518790381
0.02078179119247897,MHEALTH,1,0.2112944281703603,0.04464533537583955,42,0,404,0.0015519459249251867
0.06679861454725383,MHEALTH,1,0.07137400160992724,0.005094248105813896,135,1,404,0.0015519459249251867
0.11232063334982682,MHEALTH,1,0.050270420016651024,0.0025271151286505077,227,2,404,0.0015519459249251867
0.048985650667986144,MHEALTH,2,0.0645177496578435,0.0041625400209121645,99,0,405,0.0005011135027826715
0.07619990103908957,MHEALTH,2,0.03854500074942082,0.0014857170827728514,154,1,405,0.0005011135027826715
0.0752102919346858,MHEALTH,2,0.0494614746616027,0.0024464374757003663,152,2,405,0.0005011135027826715
0.07916872835230084,MHEALTH,3,0.04318380853876379,0.0018648413199126085,160,0,403,0.0007247963278697979
0.10192973775358734,MHEALTH,3,0.03368974531709803,0.0011349989395309284,206,1,403,0.0007247963278697979
0.01830776843146957,MHEALTH,3,0.15876457038012529,0.025206188807985756,37,2,403,0.0007247963278697979
0.15883226125680355,MHEALTH,4,0.032102182069118065,0.0010305500935988054,321,0,405,0.000769484916392841
0.04057397328055418,MHEALTH,4,0.12219149485315149,0.014930761414447746,82,1,405,0.000769484916392841
0.08025477707006369,OPPORTUNITY,0,0.10160165098682958,0.010322895483249528,63,0,157,0.0028815379313082206
0.06496815286624204,OPPORTUNITY,0,0.10886700508363911,0.011852024795881103,51,1,157,0.0028815379313082206
0.05477707006369427,OPPORTUNITY,0,0.15304746155802695,0.023423525489355737,43,2,157,0.0028815379313082206
0.0840764331210191,OPPORTUNITY,1,0.09644470869874489,0.009301581835985756,66,0,157,0.0018278982198565545
0.05859872611464968,OPPORTUNITY,1,0.09018268370057335,0.008132916439437657,46,1,157,0.0018278982198565545
0.05732484076433121,OPPORTUNITY,1,0.09965290263913297,0.009930701004404515,45,2,157,0.0018278982198565545
0.07006369426751592,OPPORTUNITY,2,0.09989006423096093,0.0099780249320655,55,0,157,0.0015322452200899216
0.05987261146496815,OPPORTUNITY,2,0.09864907742823112,0.009731640477441138,47,1,157,0.0015322452200899216
0.07006369426751592,OPPORTUNITY,2,0.05979267575506258,0.003575164073950048,55,2,157,0.0015322452200899216
0.06878980891719745,OPPORTUNITY,3,0.07167650295176947,0.005137521075395018,54,0,157,0.000989610942133648
0.06751592356687898,OPPORTUNITY,3,0.06992440281929713,0.004889422109635328,53,1,157,0.000989610942133648
0.06369426751592357,OPPORTUNITY,3,0.0693223022833071,0.004805581593858205,50,2,157,0.000989610942133648
0.030573248407643312,OPPORTUNITY,4,0.10568233330815346,0.011168755573455643,24,0,157,0.000934993439267293
0.08152866242038216,OPPORTUNITY,4,0.0655637084869237,0.00429859987055831,64,1,157,0.000934993439267293
0.08789808917197452,OPPORTUNITY,4,0.052586619274829875,0.0027653525267559093,69,2,157,0.000934993439267293
0.06319290465631928,PAMAP2,0,0.027409702477706462,0.0007512917899163877,57,0,181,0.00012932630793687508
0.09534368070953436,PAMAP2,0,0.021237086919637497,0.000451013860832238,86,1,181,0.00012932630793687508
0.04212860310421286,PAMAP2,0,0.030366838605647473,0.0009221448869014417,38,2,181,0.00012932630793687508
0.08980044345898004,PAMAP2,1,0.03040174643932633,0.0009242661865610911,81,0,180,0.0004998408470134635
0.057649667405764965,PAMAP2,1,0.04406428384387541,0.0019416611106736193,52,1,180,0.0004998408470134635
0.052106430155210645,PAMAP2,1,0.0764956548814219,0.005851585215737606,47,2,180,0.0004998408470134635
0.06097560975609756,PAMAP2,2,0.06335635089890061,0.0040140271992246245,55,0,180,0.0010073695125605894
0.050997782705099776,PAMAP2,2,0.09105949891504324,0.008291832342658761,46,1,180,0.0010073695125605894
0.08758314855875832,PAMAP2,2,0.06228268717425009,0.003879133121645497,79,2,180,0.0010073695125605894
0.057649667405764965,PAMAP2,3,0.08720660531502032,0.00760499201056973,52,0,180,0.0012863810232537866
0.06208425720620843,PAMAP2,3,0.09435644826453182,0.008903139329097271,56,1,180,0.0012863810232537866
0.07982261640798226,PAMAP2,3,0.0608139576444972,0.0036983374443866996,72,2,180,0.0012863810232537866
0.06208425720620843,PAMAP2,4,0.10421893349955041,0.01086158609978371,56,0,181,0.003303464714059368
0.06651884700665188,PAMAP2,4,0.14913080646685772,0.02223999743745537,60,1,181,0.003303464714059368
0.07206208425720621,PAMAP2,4,0.12631319464826857,0.015955023142251386,65,2,181,0.003303464714059368
