dataset,n,base_MSE,MSE,MSE_gain,MSE_wins,base_MAE,MAE,MAE_gain,MAE_wins
MHEALTH,3,0.7011285424232483,0.6937177777290344,1.04799884542688,3,0.44356075922648114,0.43514596422513324,1.8768332527060092,3
OPPORTUNITY,3,0.7083105047543844,0.703886866569519,0.6202264346722283,2,0.5750713149706522,0.572392483552297,0.466100671448271,3
PAMAP2,3,0.7562567790349325,0.7528541882832845,0.4491468641173093,3,0.46722379326820374,0.4603520433108012,1.460334708694791,3
