avg_MAE,avg_MAE_gain_vs_base_pct,avg_MSE,avg_MSE_gain_vs_base_pct,dataset,n,positive_MAE,positive_MSE,tag
0.44356075922648114,,0.7011285424232483,,MHEALTH,3,,,base
0.43514596422513324,1.8768332527060092,0.6937177777290344,1.04799884542688,MHEALTH,3,3,3,gate
0.5750713149706522,,0.7083105047543844,,OPPORTUNITY,3,,,base
0.572392483552297,0.466100671448271,0.703886866569519,0.6202264346722282,OPPORTUNITY,3,3,2,gate
0.46722379326820374,,0.7562567790349325,,PAMAP2,3,,,base
0.4603520433108012,1.460334708694791,0.7528541882832845,0.4491468641173093,PAMAP2,3,3,3,gate
