MAE,MAE_gain_pct,MSE,MSE_gain_pct,base_MAE,base_MSE,base_root,dataset,model_id,seed,status,variant
0.5748830437660217,0.24118106111185525,0.7060663104057312,0.14798476960576928,0.5762729048728943,0.707112729549408,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,OPPORTUNITY,v322abl_OPPORTUNITY_tPatchGNN_ramstpatch_mix_e3_s5301,5301,done,mix
0.5723514556884766,-0.09136204919499767,0.7061758041381836,1.165327867129332,0.5718290209770203,0.7145020961761475,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,OPPORTUNITY,v322abl_OPPORTUNITY_tPatchGNN_ramstpatch_mix_e3_s5302,5302,done,mix
0.5800026655197144,0.17666095509758822,0.7159843444824219,0.8604397366594702,0.5810291171073914,0.7221984267234802,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,OPPORTUNITY,v322abl_OPPORTUNITY_tPatchGNN_ramstpatch_mix_e3_s5303,5303,done,mix
0.5734431743621826,0.491040006702347,0.712702214717865,-0.7904659235902609,0.5762729048728943,0.707112729549408,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,OPPORTUNITY,v322abl_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5301,5301,done,gate
0.5719732046127319,-0.025214466286674203,0.70382159948349,1.4948167052017143,0.5718290209770203,0.7145020961761475,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,OPPORTUNITY,v322abl_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5302,5302,done,gate
0.5800057649612427,0.17612751513097336,0.7159363627433777,0.867083580964404,0.5810291171073914,0.7221984267234802,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,OPPORTUNITY,v322abl_OPPORTUNITY_tPatchGNN_ramstpatch_gate_e3_s5303,5303,done,gate
0.5737624764442444,0.43563186945317434,0.7144394516944885,-1.0361462662041678,0.5762729048728943,0.707112729549408,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,OPPORTUNITY,v322abl_OPPORTUNITY_tPatchGNN_ramstpatch_safe_gate_e3_s5301,5301,done,safe_gate
0.5720539689064026,-0.039338319870156443,0.7037666440010071,1.502508142746407,0.5718290209770203,0.7145020961761475,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,OPPORTUNITY,v322abl_OPPORTUNITY_tPatchGNN_ramstpatch_safe_gate_e3_s5302,5302,done,safe_gate
0.5799345970153809,0.18837611744132238,0.7160739898681641,0.8480268896599417,0.5810291171073914,0.7221984267234802,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,OPPORTUNITY,v322abl_OPPORTUNITY_tPatchGNN_ramstpatch_safe_gate_e3_s5303,5303,done,safe_gate
0.46312999725341797,0.869025493587611,0.7539966106414795,0.3656629955444028,0.4671899974346161,0.7567638158798218,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_local_e3_s5301,5301,done,local
0.46324867010116577,4.574182272717757,0.7557029128074646,1.2407426275187579,0.4854542315006256,0.7651970386505127,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_local_e3_s5302,5302,done,local
0.4601513743400574,0.19445126759835038,0.7527605295181274,0.056962317820294726,0.461047887802124,0.7531895637512207,/root/autodl-tmp/APN/storage/results_BigData2026_v322_public_baselines_e4,PAMAP2,v322abl_PAMAP2_tPatchGNN_ramstpatch_local_e3_s5303,5303,done,local
