MAE_gain_pct,MAE_wins,MSE_gain_pct,MSE_wins,dataset,n,variant
2.0494388867275175,3,1.1011072249492613,3,MHEALTH,3,local
2.157055963250032,3,1.2135159015166017,3,MHEALTH,3,integral
2.1609547381681833,3,1.2085208907008735,3,MHEALTH,3,mix
2.08174223393237,3,1.3461964114258025,3,MHEALTH,3,gate
2.0594337000919483,3,1.2945716788938462,3,MHEALTH,3,safe_gate
0.10068886004114355,2,0.7571163654634059,3,OPPORTUNITY,3,local
0.12964043922328683,2,0.7608166474912003,3,OPPORTUNITY,3,integral
0.10882665567148193,2,0.7245841244648571,3,OPPORTUNITY,3,mix
0.21398435184888204,2,0.5238114541919524,2,OPPORTUNITY,3,gate
0.19488988900811344,2,0.4381295887340603,2,OPPORTUNITY,3,safe_gate
1.8792196779679062,3,0.5544559802944852,3,PAMAP2,3,local
1.904344116458253,3,0.5534304800900968,3,PAMAP2,3,integral
1.9296297765538595,3,0.5723956286777929,3,PAMAP2,3,mix
2.1515027685717665,3,0.682716490790473,3,PAMAP2,3,gate
2.1596910301677297,3,0.6614500515688297,3,PAMAP2,3,safe_gate
