avg_MAE,avg_MAE_gain_vs_base_pct,avg_MSE,avg_MSE_gain_vs_base_pct,dataset,n,positive_MAE,positive_MSE,tag
0.11799344917138417,,0.04356390858689944,,HumanActivity,3,,,base
0.11470843851566315,2.765799259519227,0.04279163107275963,1.7685575988785853,HumanActivity,3,3,3,gate
0.4777933756510417,,0.7513285875320435,,MHEALTH,3,,,base
0.4498577316602071,5.82283586527135,0.71827632188797,4.39722324527919,MHEALTH,3,3,3,gate
0.6762057145436605,,0.8476229707400004,,OPPORTUNITY,3,,,base
0.6086645722389221,9.987223992200434,0.7481279373168945,11.727470104998131,OPPORTUNITY,3,3,3,gate
0.5253332853317261,,0.8182837963104248,,PAMAP2,3,,,base
0.4885076979796092,6.970182834706332,0.7721906701723734,5.626137951886366,PAMAP2,3,3,3,gate
