avg_MAE,avg_MAE_gain_vs_base_pct,avg_MSE,avg_MSE_gain_vs_base_pct,dataset,n,positive_MAE,positive_MSE,tag
0.44662808378537494,,0.7048015197118124,,MHEALTH,3,,,base
0.43742962678273517,2.0494388867275175,0.6970165371894836,1.1011072249492613,MHEALTH,3,3,3,local
0.43695055445035297,2.157055963250032,0.6962237358093262,1.2135159015166017,MHEALTH,3,3,3,integral
0.43693220615386963,2.1609547381681833,0.6962586243947347,1.2085208907008735,MHEALTH,3,3,3,mix
0.437287300825119,2.08174223393237,0.695289413134257,1.3461964114258027,MHEALTH,3,3,3,gate
0.4373854597409566,2.0594337000919483,0.6956527630488077,1.2945716788938462,MHEALTH,3,3,3,safe_gate
0.5763770143191019,,0.7146044174830118,,OPPORTUNITY,3,,,base
0.5757932265599569,0.10068886004114354,0.7091736396153768,0.7571163654634058,OPPORTUNITY,3,2,3,local
0.575626273949941,0.12964043922328686,0.7091467976570129,0.7608166474912003,OPPORTUNITY,3,2,3,integral
0.5757457216580709,0.10882665567148193,0.7094088196754456,0.7245841244648571,OPPORTUNITY,3,2,3,mix
0.5751407146453857,0.21398435184888207,0.7108200589815775,0.5238114541919524,OPPORTUNITY,3,2,2,gate
0.5752503474553426,0.19488988900811344,0.7114266951878866,0.4381295887340603,OPPORTUNITY,3,2,2,safe_gate
0.4712307055791219,,0.7583834727605184,,PAMAP2,3,,,base
0.46217668056488037,1.879219677967906,0.7541533509890238,0.5544559802944852,PAMAP2,3,3,3,local
0.4620638092358907,1.904344116458253,0.7541609207789103,0.5534304800900968,PAMAP2,3,3,3,integral
0.46194074551264447,1.9296297765538595,0.7540171345074972,0.572395628677793,PAMAP2,3,3,3,mix
0.46089185277620953,2.1515027685717665,0.7531771262486776,0.6827164907904729,PAMAP2,3,3,3,gate
0.4608515997727712,2.1596910301677297,0.7533391714096069,0.6614500515688296,PAMAP2,3,3,3,safe_gate
