dataset,level_bins,lower_bound_proxy,lower_bound_proxy_pct_of_residual_var,max_cell_gap,min_cell,n,reliability_bins,used,valid_strata,weighted_mean_gap
MHEALTH,5,0.005342053323849535,0.7893062686311704,0.04464533537583955,8,2021,3,2021,5,0.06032207571139064
OPPORTUNITY,5,0.008166285752655638,1.5216954890778482,0.023423525489355737,8,785,3,785,5,0.08707633629987185
PAMAP2,5,0.006226382404824082,1.024432585449793,0.02223999743745537,8,902,3,902,5,0.06948703632621524
