dataset,variant,n,mean_mse_gain_pct,mean_mae_gain_pct,pos_mse,pos_mae,mean_base_mse,mean_variant_mse,mean_base_mae,mean_variant_mae
MHEALTH,real_gate,3,1.3462859551561088,2.0818662529877505,3,3,0.7048015197118124,0.6952887773513794,0.44662808378537494,0.43728675444920856
MHEALTH,value_only_gate,3,1.2023194339348124,1.976315346668106,3,3,0.7048015197118124,0.6963023145993551,0.44662808378537494,0.4377557436625163
MHEALTH,reliability_only_gate,3,0.9759170457874755,1.8328944957678033,3,3,0.7048015197118124,0.6978903412818909,0.44662808378537494,0.4383876621723175
MHEALTH,shuffled_gate,3,0.9909799259750086,1.8698783073292677,3,3,0.7048015197118124,0.6977846821149191,0.44662808378537494,0.43822505076726276
OPPORTUNITY,real_gate,3,0.5238059520434598,0.21398777133584754,2,2,0.7146044174830118,0.7108200987180074,0.5763770143191019,0.5751406947771708
OPPORTUNITY,value_only_gate,3,0.7154236578610886,0.16124586988938336,2,2,0.7146044174830118,0.7094646294911703,0.5763770143191019,0.5754418770472208
OPPORTUNITY,reliability_only_gate,3,0.6002273119016482,-0.054686894999517344,3,2,0.7146044174830118,0.7103054920832316,0.5763770143191019,0.5767001509666443
OPPORTUNITY,shuffled_gate,3,0.5958899516317878,-0.060256756933014875,3,2,0.7146044174830118,0.7103363871574402,0.5763770143191019,0.576732317606608
PAMAP2,real_gate,3,0.68278480953295,2.1515773509182474,3,3,0.7583834727605184,0.7531766096750895,0.4712307055791219,0.4608915050824483
PAMAP2,value_only_gate,3,0.6536292950853354,2.165101283549861,3,3,0.7583834727605184,0.7533997098604838,0.4712307055791219,0.46083160241444904
PAMAP2,reliability_only_gate,3,0.43471562114230816,1.4224293106096269,3,3,0.7583834727605184,0.7550655206044515,0.4712307055791219,0.4643721878528595
PAMAP2,shuffled_gate,3,0.42509457867814243,1.3867620982442646,3,3,0.7583834727605184,0.7551376819610596,0.4712307055791219,0.46453601121902466
