group,variant,metric,n,mean_gain_pct,wins,ci95_low,ci95_high,p_boot_one_sided,p_sign_one_sided
ALL,real_gate,MSE,9,0.8509589055775062,8,0.3015989665600445,1.3541008301068556,0.00116,0.01953125
ALL,real_gate,MAE,9,1.482477125080615,8,0.559370748878892,2.61543300161657,0.0,0.01953125
MHEALTH,real_gate,MSE,3,1.3462859551561088,3,0.9084341058555053,2.1492980135649526,0.0,0.125
MHEALTH,real_gate,MAE,3,2.0818662529877505,3,1.1113129363758927,3.689075728306644,0.0,0.125
OPPORTUNITY,real_gate,MSE,3,0.5238059520434598,2,-0.7904659235902609,1.4948167052017143,0.26034,0.5
OPPORTUNITY,real_gate,MAE,3,0.21398777133584754,2,-0.025214466286674203,0.491040006702347,0.03596,0.5
PAMAP2,real_gate,MSE,3,0.6827848095329502,3,0.14235831276316782,1.4759762440453545,0.0,0.125
PAMAP2,real_gate,MAE,3,2.1515773509182474,3,0.43250895269615136,4.863626633227621,0.0,0.125
