dataset,variant,seed,base_mse,variant_mse,mse_gain_pct,base_mae,variant_mae,mae_gain_pct,metric_path,base_metric_path,base_root
MHEALTH,shuffled_gate,5302,0.700092077255249,0.6979129910469055,0.3112570873372454,0.44334253668785095,0.4399905204772949,0.756078186315815,storage/results_BigData2026_v329_mechanism_controls/MHEALTH/MCORWrapper/v329_MHEALTH_tPatchGNN_ramstpatch_shuffled_gate_e3_s5302/250_50/2026_0525_2027/iter0/eval_2026_0525_2030/metric.json,storage/results_BigData2026_v322_public_baselines_e4/MHEALTH/tPatchGNN/local_baselines_MHEALTH_tpatchgnn_e4_s5302/250_50/2026_0524_2119/iter0/eval_2026_0524_2123/metric.json,storage/results_BigData2026_v322_public_baselines_e4
MHEALTH,shuffled_gate,5303,0.7106972336769104,0.6963045001029968,2.025156830771716,0.4520731270313263,0.4351573884487152,3.7418146691649983,storage/results_BigData2026_v329_mechanism_controls/MHEALTH/MCORWrapper/v329_MHEALTH_tPatchGNN_ramstpatch_shuffled_gate_e3_s5303/250_50/2026_0525_2040/iter0/eval_2026_0525_2041/metric.json,storage/results_BigData2026_v322_public_baselines_e4/MHEALTH/tPatchGNN/local_baselines_MHEALTH_tpatchgnn_e4_s5303/250_50/2026_0524_2130/iter0/eval_2026_0524_2133/metric.json,storage/results_BigData2026_v322_public_baselines_e4
OPPORTUNITY,real_gate,5301,0.707112729549408,0.712702214717865,-0.7904659235902609,0.5762729048728943,0.5734431743621826,0.491040006702347,storage/results_BigData2026_v329_mechanism_controls/OPPORTUNITY/MCORWrapper/v329_OPPORTUNITY_tPatchGNN_ramstpatch_real_gate_e3_s5301/300_60/2026_0525_1959/iter0/eval_2026_0525_2002/metric.json,storage/results_BigData2026_v322_public_baselines_e4/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e4_s5301/300_60/2026_0524_2137/iter0/eval_2026_0524_2138/metric.json,storage/results_BigData2026_v322_public_baselines_e4
OPPORTUNITY,real_gate,5302,0.7145020961761475,0.70382159948349,1.4948167052017143,0.5718290209770203,0.5719732046127319,-0.025214466286674203,storage/results_BigData2026_v329_mechanism_controls/OPPORTUNITY/MCORWrapper/v329_OPPORTUNITY_tPatchGNN_ramstpatch_real_gate_e3_s5302/300_60/2026_0525_2012/iter0/eval_2026_0525_2015/metric.json,storage/results_BigData2026_v322_public_baselines_e4/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e4_s5302/300_60/2026_0524_2143/iter0/eval_2026_0524_2145/metric.json,storage/results_BigData2026_v322_public_baselines_e4
OPPORTUNITY,real_gate,5303,0.7221984267234802,0.7159364819526672,0.8670670745189258,0.5810291171073914,0.5800057053565979,0.1761377735918698,storage/results_BigData2026_v329_mechanism_controls/OPPORTUNITY/MCORWrapper/v329_OPPORTUNITY_tPatchGNN_ramstpatch_real_gate_e3_s5303/300_60/2026_0525_2025/iter0/eval_2026_0525_2027/metric.json,storage/results_BigData2026_v322_public_baselines_e4/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e4_s5303/300_60/2026_0524_2150/iter0/eval_2026_0524_2151/metric.json,storage/results_BigData2026_v322_public_baselines_e4
OPPORTUNITY,value_only_gate,5301,0.707112729549408,0.7085292339324951,-0.20032228581004255,0.5762729048728943,0.5736022591590881,0.46343419779474165,storage/results_BigData2026_v329_mechanism_controls/OPPORTUNITY/MCORWrapper/v329_OPPORTUNITY_tPatchGNN_ramstpatch_value_only_gate_e3_s5301/300_60/2026_0525_2003/iter0/eval_2026_0525_2006/metric.json,storage/results_BigData2026_v322_public_baselines_e4/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e4_s5301/300_60/2026_0524_2137/iter0/eval_2026_0524_2138/metric.json,storage/results_BigData2026_v322_public_baselines_e4
OPPORTUNITY,value_only_gate,5302,0.7145020961761475,0.7041794657707214,1.4447305978065554,0.5718290209770203,0.572873055934906,-0.18257816927547968,storage/results_BigData2026_v329_mechanism_controls/OPPORTUNITY/MCORWrapper/v329_OPPORTUNITY_tPatchGNN_ramstpatch_value_only_gate_e3_s5302/300_60/2026_0525_2015/iter0/eval_2026_0525_2018/metric.json,storage/results_BigData2026_v322_public_baselines_e4/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e4_s5302/300_60/2026_0524_2143/iter0/eval_2026_0524_2145/metric.json,storage/results_BigData2026_v322_public_baselines_e4
OPPORTUNITY,value_only_gate,5303,0.7221984267234802,0.7156851887702942,0.9018626615867531,0.5810291171073914,0.5798503160476685,0.20288158114888813,storage/results_BigData2026_v329_mechanism_controls/OPPORTUNITY/MCORWrapper/v329_OPPORTUNITY_tPatchGNN_ramstpatch_value_only_gate_e3_s5303/300_60/2026_0525_2027/iter0/eval_2026_0525_2030/metric.json,storage/results_BigData2026_v322_public_baselines_e4/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e4_s5303/300_60/2026_0524_2150/iter0/eval_2026_0524_2151/metric.json,storage/results_BigData2026_v322_public_baselines_e4
OPPORTUNITY,reliability_only_gate,5301,0.707112729549408,0.7061358690261841,0.13814777791461338,0.5762729048728943,0.5744308829307556,0.31964403090319815,storage/results_BigData2026_v329_mechanism_controls/OPPORTUNITY/MCORWrapper/v329_OPPORTUNITY_tPatchGNN_ramstpatch_reliability_only_gate_e3_s5301/300_60/2026_0525_2006/iter0/eval_2026_0525_2009/metric.json,storage/results_BigData2026_v322_public_baselines_e4/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e4_s5301/300_60/2026_0524_2137/iter0/eval_2026_0524_2138/metric.json,storage/results_BigData2026_v322_public_baselines_e4
OPPORTUNITY,reliability_only_gate,5302,0.7145020961761475,0.7064364552497864,1.1288477625925184,0.5718290209770203,0.5717689394950867,0.010506896245129224,storage/results_BigData2026_v329_mechanism_controls/OPPORTUNITY/MCORWrapper/v329_OPPORTUNITY_tPatchGNN_ramstpatch_reliability_only_gate_e3_s5302/300_60/2026_0525_2019/iter0/eval_2026_0525_2021/metric.json,storage/results_BigData2026_v322_public_baselines_e4/OPPORTUNITY/tPatchGNN/local_baselines_OPPORTUNITY_tpatchgnn_e4_s5302/300_60/2026_0524_2143/iter0/eval_2026_0524_2145/metric.json,storage/results_BigData2026_v322_public_baselines_e4
